Respondent_ID,Gender,Age,Education,Farm_Size_ha,Farming_Experience,Major_Crop,Production_Output_tons,Annual_Income_NGN
69,Male,64,Secondary,3.26,21,Maize,4.88,585281
70,Male,54,Secondary,1.43,15,Rice,4.79,591133
71,Male,30,Secondary,1.08,23,Cassava,4.46,534923
72,Male,47,Secondary,2.14,2,Yam,2.84,358809
73,Male,60,Secondary,2.46,16,Rice,4.7,577500
74,Male,52,Tertiary,2.88,27,Cassava,4.64,555398
75,Male,54,Secondary,2.49,21,Maize,5.27,627792
76,Male,65,Primary,1.43,27,Cassava,2.1,248046
77,Male,52,Primary,2.33,26,Rice,3.66,456927
78,Male,34,Secondary,2.66,14,Rice,2.98,337963
79,Male,28,Primary,2.84,9,Vegetables,3.86,479730
80,Male,37,Secondary,3.25,5,Cassava,5.21,640008
81,Male,57,Secondary,2.29,26,Vegetables,5.26,644281
82,Male,49,Secondary,2.99,19,Cassava,4.97,607508
83,Male,50,Tertiary,1.28,9,Yam,5.06,621363
84,Male,53,Secondary,2.38,10,Maize,4.85,577367
85,Male,39,Tertiary,1.51,30,Maize,2.55,301155
86,Male,46,Primary,2.58,24,Maize,3.66,440884
87,Male,56,Primary,1.9,3,Rice,3.56,445478
88,Male,23,Tertiary,3.07,26,Rice,3.91,472252
89,Male,41,Secondary,2.76,29,Vegetables,4.99,614591
90,Male,60,Primary,3.19,17,Yam,3.74,430702
91,Male,46,Secondary,1.51,23,Cassava,5.36,631564
92,Male,61,Tertiary,2.1,14,Vegetables,4.65,543501
93,Male,63,Secondary,1.79,29,Cassava,2.2,268844
94,Male,42,Secondary,1.13,12,Rice,3.11,380827
95,Male,38,Primary,3.0,17,Vegetables,2.21,268135
96,Male,36,Tertiary,2.45,26,Maize,5.02,598605
97,Male,34,Primary,3.02,21,Cassava,2.5,287496
98,Male,58,Tertiary,3.34,16,Yam,5.07,599396
99,Male,60,Tertiary,2.32,25,Maize,5.11,603932
100,Male,41,Secondary,0.82,2,Vegetables,4.71,569796
101,Male,47,Primary,3.32,8,Vegetables,4.76,567115
102,Male,28,Tertiary,2.59,11,Vegetables,5.22,643488
103,Male,24,Tertiary,1.54,15,Yam,2.28,275962
104,Male,22,Secondary,3.05,28,Maize,3.73,451336
105,Male,62,Tertiary,3.17,16,Cassava,3.74,462993
106,Male,63,Tertiary,1.31,27,Rice,3.86,482028
107,Male,39,Primary,1.47,9,Yam,5.53,659581
108,Male,51,Secondary,2.21,23,Yam,2.11,254499
109,Male,33,Secondary,1.96,13,Yam,3.12,393469
110,Male,39,Primary,2.17,18,Maize,2.97,363035
111,Male,53,Tertiary,2.17,9,Rice,4.58,561766
112,Male,50,Secondary,2.88,4,Cassava,3.62,430345
113,Male,41,Secondary,2.49,13,Vegetables,4.12,502285
114,Male,57,Secondary,1.49,24,Yam,3.23,382708
115,Male,29,Primary,2.66,12,Vegetables,5.8,688133
116,Male,34,Secondary,1.15,17,Vegetables,5.91,723582
117,Male,60,Primary,1.35,5,Yam,2.91,340959
118,Male,41,Primary,0.54,19,Yam,2.18,245173
119,Male,57,Tertiary,1.38,6,Rice,2.41,270003
120,Male,58,Secondary,1.35,17,Yam,2.74,312167
